wl	n
22.2222	0.604
22.7273	0.431
23.2558	0.319
23.8095	0.269
24.3902	0.264
25.0000	0.291
25.6410	0.367
26.3158	0.539
27.0270	0.879
27.7778	1.597
28.5714	3.856
29.4118	5.102
30.3030	4.294
31.2500	3.552
32.2581	3.102
33.3333	2.739
34.4828	2.424
35.7143	2.021
37.0370	1.869
38.4615	3.382
40.0000	3.906

wl	k
3.1546	0.013
2.5000	0.000
2.5063	0.000
2.5126	0.000
2.5189	0.000
2.5253	0.000
2.5316	0.000
2.5381	0.000
2.5445	0.001
2.5510	0.003
2.5575	0.003
2.5641	0.002
2.5707	0.002
2.5773	0.002
2.5840	0.005
2.5907	0.001
2.5974	0.002
2.6042	0.004
2.6110	0.002
2.6178	0.002
2.6247	0.005
2.6316	0.005
2.6385	0.003
2.6455	0.006
2.6525	0.005
2.6596	0.004
2.6667	0.008
2.6738	0.005
2.6810	0.006
2.6882	0.007
2.6954	0.007
2.7027	0.006
2.7100	0.004
2.7174	0.006
2.7248	0.008
2.7322	0.009
2.7397	0.006
2.7473	0.007
2.7548	0.010
2.7624	0.010
2.7701	0.008
2.7778	0.011
2.7855	0.010
2.7933	0.012
2.8011	0.010
2.8090	0.011
2.8169	0.012
2.8249	0.010
2.8329	0.009
2.8409	0.012
2.8490	0.011
2.8571	0.013
2.8653	0.012
2.8736	0.012
2.8818	0.012
2.8902	0.011
2.8986	0.012
2.9070	0.010
2.9155	0.012
2.9240	0.014
2.9326	0.011
2.9412	0.011
2.9499	0.013
2.9586	0.014
2.9674	0.013
2.9762	0.012
2.9851	0.012
2.9940	0.012
3.0030	0.012
3.0120	0.014
3.0211	0.015
3.0303	0.013
3.0395	0.013
3.0488	0.012
3.0581	0.012
3.0675	0.013
3.0769	0.013
3.0864	0.014
3.0960	0.016
3.1056	0.011
3.1153	0.013
3.1250	0.011
3.1348	0.014
3.1447	0.015
3.1646	0.012
3.1746	0.013
3.1847	0.017
3.1949	0.012
3.2051	0.016
3.2154	0.013
3.2258	0.017
3.2362	0.013
3.2468	0.014
3.2573	0.015
3.2680	0.016
3.2787	0.016
3.2895	0.018
3.3003	0.019
3.3113	0.022
3.3223	0.023
3.3333	0.021
3.3445	0.019
3.3557	0.019
3.3670	0.023
3.3784	0.018
3.3898	0.020
3.4014	0.022
3.4130	0.020
3.4247	0.021
3.4364	0.022
3.4483	0.025
3.4602	0.025
3.4722	0.023
3.4843	0.024
3.4965	0.020
3.5088	0.019
3.5211	0.015
3.5336	0.018
3.5461	0.016
3.5587	0.014
3.5714	0.014
3.5842	0.018
3.5971	0.017
3.6102	0.018
3.6232	0.015
3.6364	0.018
3.6496	0.016
3.6630	0.019
3.6765	0.021
3.6900	0.017
3.7037	0.016
3.7175	0.016
3.7313	0.017
3.7453	0.019
3.7594	0.019
3.7736	0.021
3.7879	0.021
3.8023	0.026
3.8168	0.023
3.8314	0.021
3.8462	0.022
3.8610	0.024
3.8760	0.028
3.8911	0.025
3.9063	0.033
3.9216	0.035
3.9370	0.041
3.9526	0.041
3.9683	0.040
3.9841	0.029
4.0000	0.025
4.0161	0.022
4.0323	0.021
4.0486	0.021
4.0650	0.019
4.0816	0.018
4.0984	0.019
4.1152	0.017
