wl	n
2.675E+000	1.1776
2.725E+000	1.1507
2.778E+000	1.1083
2.817E+000	1.0657
2.833E+000	1.0453
2.849E+000	1.0236
2.865E+000	1.0001
2.882E+000	0.9747
2.899E+000	0.9563
2.915E+000	0.9538
2.933E+000	0.9678
2.950E+000	0.9873
2.967E+000	1.0026
2.985E+000	1.0180
3.003E+000	1.0390
3.021E+000	1.0722
3.040E+000	1.1259
3.058E+000	1.2089
3.077E+000	1.3215
3.096E+000	1.4225
3.115E+000	1.4933
3.135E+000	1.5478
3.155E+000	1.5970
3.175E+000	1.6336
3.195E+000	1.6477
3.215E+000	1.6405
3.236E+000	1.6248
3.257E+000	1.6108
3.279E+000	1.5905
3.300E+000	1.5714
3.322E+000	1.5559
3.345E+000	1.5396
3.367E+000	1.5241
3.390E+000	1.5086
3.413E+000	1.4949
3.436E+000	1.4827
3.460E+000	1.4710
3.484E+000	1.4604
3.509E+000	1.4502
3.534E+000	1.4411
3.559E+000	1.4328
3.624E+000	1.4146
3.732E+000	1.3924
3.775E+000	1.3850
3.847E+000	1.3750
3.969E+000	1.3623
4.099E+000	1.3526
4.239E+000	1.3447
4.348E+000	1.3406
4.387E+000	1.3401
4.444E+000	1.3412
4.505E+000	1.3444
4.547E+000	1.3473
4.560E+000	1.3482
4.580E+000	1.3491
4.719E+000	1.3470
4.904E+000	1.3379
5.000E+000	1.3325
5.100E+000	1.3268
5.200E+000	1.3212
5.263E+000	1.3176
5.400E+000	1.3100
5.556E+000	1.3013
5.714E+000	1.2933
5.747E+000	1.2917
5.780E+000	1.2906
5.814E+000	1.2902
5.848E+000	1.2904
5.882E+000	1.2915
6.061E+000	1.3015
6.135E+000	1.3083
6.250E+000	1.3152
6.289E+000	1.3167
6.329E+000	1.3178
6.369E+000	1.3187
6.410E+000	1.3194
6.452E+000	1.3201
6.494E+000	1.3207
6.579E+000	1.3214
6.667E+000	1.3219
6.757E+000	1.3229
6.897E+000	1.3242
7.042E+000	1.3244
7.143E+000	1.3236
7.246E+000	1.3229
7.353E+000	1.3218
7.463E+000	1.3200
7.576E+000	1.3183
7.692E+000	1.3158
7.812E+000	1.3123
7.937E+000	1.3086
8.065E+000	1.3047
8.197E+000	1.3007
8.333E+000	1.2964
8.475E+000	1.2917
8.696E+000	1.2835
8.929E+000	1.2735
9.091E+000	1.2655
9.259E+000	1.2561
9.524E+000	1.2387
9.804E+000	1.2151
1.000E+001	1.1926
1.020E+001	1.1659
1.031E+001	1.1501
1.042E+001	1.1323
1.053E+001	1.1136
1.064E+001	1.0971
1.075E+001	1.0867
1.087E+001	1.0833
1.100E+001	1.0886
1.111E+001	1.1023
1.136E+001	1.1439
1.163E+001	1.1983
1.190E+001	1.2546
1.220E+001	1.3194
1.250E+001	1.3822
1.282E+001	1.4412
1.299E+001	1.4683
1.316E+001	1.4928
1.333E+001	1.5132
1.351E+001	1.5300
1.370E+001	1.5458
1.389E+001	1.5596
1.408E+001	1.5701
1.429E+001	1.5775
1.471E+001	1.5762
1.515E+001	1.5637
1.538E+001	1.5559
1.563E+001	1.5481
1.613E+001	1.5353
1.639E+001	1.5302
1.667E+001	1.5294
1.695E+001	1.5306
1.724E+001	1.5303
1.818E+001	1.5141
1.832E+001	1.5104
1.861E+001	1.5043
1.887E+001	1.4982
1.923E+001	1.4939
1.961E+001	1.4963
2.000E+001	1.4986
2.041E+001	1.4956
2.083E+001	1.4877
2.222E+001	1.4575
2.260E+001	1.4486
2.305E+001	1.4390
2.360E+001	1.4282
2.460E+001	1.4102
2.500E+001	1.4030
2.600E+001	1.3854
2.857E+001	1.3404
3.100E+001	1.2969
3.333E+001	1.2641
3.448E+001	1.2530
3.564E+001	1.2445
3.700E+001	1.2371
3.824E+001	1.2317
3.960E+001	1.2243
4.114E+001	1.2054
4.276E+001	1.1742
4.358E+001	1.1549
4.458E+001	1.1496
4.550E+001	1.1853
4.615E+001	1.2543
4.671E+001	1.3474
4.736E+001	1.4725
4.800E+001	1.5874
4.878E+001	1.6841
5.003E+001	1.7505
5.128E+001	1.7649
5.275E+001	1.7668
5.350E+001	1.7687
5.424E+001	1.7792
5.500E+001	1.7955
5.574E+001	1.8052
5.640E+001	1.8041
5.700E+001	1.7940
5.746E+001	1.7805
5.840E+001	1.7410
5.929E+001	1.6930
6.000E+001	1.6610
6.100E+001	1.6419
6.125E+001	1.6396
6.250E+001	1.6372
6.378E+001	1.6471
6.467E+001	1.6596
6.558E+001	1.6754
6.655E+001	1.6945
6.760E+001	1.7167
6.900E+001	1.7466
7.053E+001	1.7780
7.300E+001	1.8185
7.500E+001	1.8419
7.629E+001	1.8504
8.000E+001	1.8617
8.297E+001	1.8669
8.500E+001	1.8688
8.680E+001	1.8699
9.080E+001	1.8698
9.517E+001	1.8681
1.000E+002	1.8654
1.200E+002	1.8499
1.600E+002	1.8268
2.100E+002	1.8114
3.000E+002	1.7989
5.000E+002	1.7908
1.300E+003	1.7868
5.000E+003	1.7861
1.900E+004	1.7861
3.900E+004	1.7861
6.100E+004	1.7861
8.600E+004	1.7861
1.100E+005	1.7861
1.400E+005	1.7861
1.800E+005	1.7861
2.400E+005	1.7861
3.400E+005	1.7861
5.400E+005	1.7861
1.000E+006	1.7861
2.000E+006	1.7861

wl	k
4.430E-002	1.640E-001
4.510E-002	1.730E-001
4.590E-002	1.830E-001
4.680E-002	1.950E-001
4.770E-002	2.080E-001
4.860E-002	2.230E-001
4.960E-002	2.400E-001
5.060E-002	2.500E-001
5.170E-002	2.590E-001
5.280E-002	2.680E-001
5.390E-002	2.790E-001
5.510E-002	2.970E-001
5.640E-002	3.190E-001
5.770E-002	3.400E-001
5.900E-002	3.660E-001
6.050E-002	3.920E-001
6.200E-002	4.160E-001
6.360E-002	4.400E-001
6.530E-002	4.640E-001
6.700E-002	4.920E-001
6.890E-002	5.170E-001
7.080E-002	5.280E-001
7.290E-002	5.330E-001
7.380E-002	5.340E-001
7.510E-002	5.310E-001
7.750E-002	5.240E-001
8.000E-002	5.100E-001
8.270E-002	5.000E-001
8.550E-002	4.990E-001
8.860E-002	4.680E-001
9.180E-002	3.800E-001
9.300E-002	3.600E-001
9.540E-002	3.390E-001
9.920E-002	3.180E-001
1.033E-001	2.910E-001
1.078E-001	2.510E-001
1.100E-001	2.440E-001
1.127E-001	2.390E-001
1.140E-001	2.390E-001
1.181E-001	2.440E-001
1.210E-001	2.470E-001
1.240E-001	2.240E-001
1.272E-001	1.950E-001
1.295E-001	1.740E-001
1.305E-001	1.720E-001
1.319E-001	1.800E-001
1.333E-001	1.940E-001
1.348E-001	2.130E-001
1.362E-001	2.430E-001
1.370E-001	2.710E-001
1.378E-001	2.890E-001
1.387E-001	3.340E-001
1.393E-001	3.440E-001
1.409E-001	3.820E-001
1.425E-001	4.010E-001
1.435E-001	4.065E-001
1.442E-001	4.050E-001
1.450E-001	3.890E-001
1.459E-001	3.770E-001
1.468E-001	3.450E-001
1.476E-001	3.320E-001
1.480E-001	3.150E-001
1.485E-001	2.980E-001
1.494E-001	2.740E-001
1.512E-001	2.280E-001
1.531E-001	1.980E-001
1.540E-001	1.720E-001
1.550E-001	1.560E-001
1.569E-001	1.100E-001
1.580E-001	8.300E-002
1.589E-001	5.800E-002
1.610E-001	2.200E-002
1.630E-001	8.473E-003
1.650E-001	3.263E-003
1.670E-001	1.256E-003
1.690E-001	4.837E-004
1.710E-001	1.862E-004
1.730E-001	7.165E-005
1.750E-001	2.757E-005
1.770E-001	1.061E-005
1.790E-001	4.081E-006
1.810E-001	1.570E-006
1.830E-001	5.403E-007
1.850E-001	1.829E-007
1.870E-001	6.218E-008
1.890E-001	2.113E-008
1.910E-001	7.181E-009
1.930E-001	2.440E-009
1.950E-001	8.289E-010
1.970E-001	2.816E-010
1.990E-001	9.565E-011
2.010E-001	3.249E-011
2.019E-001	2.0E-011
2.100E-001	2.0E-011
2.500E-001	2.0E-011
3.000E-001	2.0E-011
3.500E-001	2.0E-011
3.900E-001	2.0E-011
4.000E-001	2.365E-011
4.100E-001	2.669E-011
4.200E-001	3.135E-011
4.300E-001	4.140E-011
4.400E-001	6.268E-011
4.500E-001	9.239E-011
4.600E-001	1.325E-010
4.700E-001	1.956E-010
4.800E-001	2.861E-010
4.900E-001	4.172E-010
5.000E-001	5.889E-010
5.100E-001	8.036E-010
5.200E-001	1.076E-009
5.300E-001	1.409E-009
5.400E-001	1.813E-009
5.500E-001	2.289E-009
5.600E-001	2.839E-009
5.700E-001	3.461E-009
5.800E-001	4.159E-009
5.900E-001	4.930E-009
6.000E-001	5.730E-009
6.100E-001	6.890E-009
6.200E-001	8.580E-009
6.300E-001	1.040E-008
6.400E-001	1.220E-008
6.500E-001	1.430E-008
6.600E-001	1.660E-008
6.700E-001	1.890E-008
6.800E-001	2.090E-008
6.900E-001	2.400E-008
7.000E-001	2.900E-008
7.100E-001	3.440E-008
7.200E-001	4.030E-008
7.300E-001	4.300E-008
7.400E-001	4.920E-008
7.500E-001	5.870E-008
7.600E-001	7.080E-008
7.700E-001	8.580E-008
7.800E-001	1.020E-007
7.900E-001	1.180E-007
8.000E-001	1.340E-007
8.100E-001	1.400E-007
