ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
283.0064811,62.0344636,0.6345,0.5113,0.1519,15.718,0.166,6.5,1.126E+00,14.733,null,1.8,3.488E-01,1,0,0000,BU,10,58983.02503247,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,3.599214,217.196408
283.0093134,62.0345603,0.2163,0.1726,-0.0789,13.835,0.100,10.9,1.601E+00,15.751,null,0.0,8.511E-01,2,0,0000,AU,10,58420.24895078,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.624034,134.031288
283.0090861,62.0360742,1.0284,0.8636,0.3958,15.859,0.408,2.7,5.234E-01,15.441,null,-0.4,7.030E-01,1,0,0000,CU,10,58058.20632973,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.677984,37.160850
283.0062205,62.0345127,0.8903,0.7344,-0.1584,16.052,0.314,3.5,1.275E+00,14.895,0.489,2.2,7.007E-01,1,0,0000,BC,5,58620.39330328,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,3.752340,224.196567
283.0057070,62.0348491,1.2696,1.2415,0.8878,16.002,0.362,3.0,1.033E+00,14.819,null,1.9,3.050E-01,1,0,0000,CU,10,56980.28620699,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,3.783789,246.987822
283.0055252,62.0352029,0.4720,0.4462,0.1593,15.415,0.166,6.5,1.550E+00,15.540,0.505,2.2,7.830E-01,1,0,0000,BC,10,57163.99769279,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.795114,266.896081
283.0066268,62.0343329,0.8755,0.6369,0.1616,16.028,0.236,4.6,1.135E+00,15.361,0.408,2.7,5.506E-01,1,0,0000,BC,10,56977.26218277,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,3.855369,210.038745
283.0060356,62.0345625,0.5943,0.5949,-0.1066,15.963,0.213,5.1,9.838E-01,14.660,0.277,3.9,4.123E-01,1,0,0000,BB,10,58619.60839260,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,3.857199,229.384445
283.0063107,62.0344261,0.8933,0.7743,-0.1809,16.270,0.272,4.0,1.206E+00,14.875,null,0.2,3.259E-01,1,0,0000,BU,10,57338.03225249,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,3.883460,219.373679
283.0055496,62.0349604,0.5212,0.5716,-0.2025,15.317,0.216,5.0,9.610E-01,15.331,0.488,2.2,5.307E-01,1,0,0000,BC,5,58254.23861177,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,3.900455,253.948269
