ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
324.6018675,25.3786473,0.0596,0.0545,-0.0147,12.389,0.023,47.5,1.017E+00,12.384,0.045,24.2,9.883E-01,1,0,0000,AA,10,56986.91709203,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.051797,151.917399
324.6018554,25.3786738,0.0813,0.0700,-0.0079,12.369,0.034,32.3,1.058E+00,12.514,0.067,16.2,8.956E-01,1,0,0000,AA,10,57537.83625626,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.051888,343.239539
324.6018526,25.3786472,0.0703,0.0586,-0.0205,12.410,0.024,46.2,7.940E-01,12.507,0.063,17.1,3.099E-01,1,0,0000,AA,10,57537.77067727,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.051979,207.579555
324.6018425,25.3786631,0.0543,0.0526,-0.0212,12.428,0.022,48.7,2.120E+00,12.549,0.046,23.7,9.768E-01,1,0,0000,AA,10,56809.08540602,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.057992,281.092932
324.6018433,25.3786668,0.0647,0.0590,-0.0293,12.416,0.025,43.0,1.506E+00,12.467,0.046,23.8,3.102E-01,1,0,0000,AA,10,57349.17232144,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.059599,294.260063
324.6018429,25.3786537,0.0686,0.0634,-0.0274,12.426,0.025,42.8,1.694E+00,12.512,0.049,22.1,9.679E-01,1,0,0000,AA,10,57348.91013184,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.060073,247.815685
324.6018566,25.3786434,0.1040,0.0802,0.0316,12.408,0.049,22.4,8.746E-01,12.482,0.061,17.8,6.322E-01,1,0,0000,AA,10,57534.88787501,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.060776,190.484166
324.6018497,25.3786451,0.0749,0.0618,-0.0300,12.440,0.025,42.9,1.374E+00,12.470,0.055,19.7,5.971E-01,1,0,0000,AA,10,58633.15790178,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.063214,211.987405
324.6018406,25.3786636,0.0637,0.0571,-0.0152,12.439,0.023,46.6,8.984E-01,12.381,0.047,23.2,5.083E-01,1,0,0000,AA,10,56986.98279852,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.064399,281.606462
324.6018409,25.3786553,0.0766,0.0831,-0.0214,12.389,0.033,32.9,1.558E+00,12.490,0.055,19.9,4.598E-01,1,0,0000,AA,10,57902.40259899,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.064399,254.764627
324.6018403,25.3786565,0.0603,0.0671,0.0171,12.443,0.030,36.2,7.022E-01,12.439,0.048,22.4,8.012E-01,1,0,0000,AA,10,58429.72951313,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.065273,258.875195
324.6018793,25.3786524,0.0716,0.0700,-0.0154,12.432,0.028,39.1,1.026E+00,12.460,0.055,19.8,6.101E-01,1,0,0000,AA,10,57537.90170795,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.068452,113.549660
324.6018387,25.3786570,0.0682,0.0581,-0.0264,12.407,0.025,43.8,8.803E-01,12.473,0.048,22.5,5.801E-01,1,0,0000,AA,10,57170.69935563,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.070089,261.139529
324.6018382,25.3786658,0.0645,0.0578,-0.0146,12.381,0.027,40.3,1.087E+00,12.454,0.044,24.7,1.063E+00,1,0,0000,AA,10,57171.42123370,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.073894,286.408292
324.6018623,25.3786393,0.0603,0.0580,-0.0182,12.451,0.025,43.1,1.291E+00,12.437,0.049,22.4,9.266E-01,1,0,0000,AA,10,58068.73769017,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.074910,174.267377
324.6018419,25.3786469,0.0725,0.0793,-0.0300,12.481,0.033,33.1,1.537E+00,12.441,0.053,20.4,5.112E-01,1,0,0000,AA,10,57537.96728694,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.075413,231.303060
324.6018376,25.3786529,0.0660,0.0578,-0.0162,12.427,0.023,46.4,6.960E-01,12.486,0.049,22.3,7.891E-01,1,0,0000,AA,5,58265.76346167,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.077208,250.668105
324.6018381,25.3786508,0.0612,0.0606,-0.0131,12.442,0.025,42.9,9.029E-01,12.531,0.068,16.0,6.621E-01,1,0,0000,AA,10,58429.00967200,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.078542,245.063343
324.6018342,25.3786573,0.0720,0.0726,-0.0213,12.452,0.030,36.1,2.247E+00,12.600,0.074,14.6,1.117E+00,1,0,0000,AA,10,58633.68113278,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.084454,263.392920
