ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
324.6123952,25.3736868,0.3484,0.3713,-0.0868,15.063,0.120,9.0,1.086E+00,15.222,0.350,3.1,6.995E-01,1,0,0000,BB,10,56809.28277938,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.824433,18.609174
324.6124774,25.3736588,0.4461,0.4084,0.0787,15.476,0.143,7.6,1.783E+00,14.340,0.218,5.0,6.881E-01,1,0,0000,BB,5,56809.01957243,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.824901,22.890766
324.6120769,25.3737420,0.4223,0.4141,-0.1159,15.252,0.133,8.2,6.443E-01,15.113,0.346,3.1,7.042E-01,1,0,0000,BB,10,56986.71984522,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.827677,2.771500
324.6124562,25.3736694,0.2845,0.2687,-0.0756,14.915,0.092,11.8,1.051E+00,14.832,0.287,3.8,2.884E-01,1,0,0000,AB,10,57171.42123370,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.834034,21.719518
324.6122217,25.3737373,0.4128,0.4236,-0.2362,15.220,0.135,8.0,7.030E-01,14.721,0.296,3.7,5.441E-01,1,0,0000,BB,10,56808.95386625,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.862409,9.779736
324.6125551,25.3736434,0.4330,0.3787,-0.2067,15.167,0.157,6.9,7.222E-01,15.099,0.386,2.8,6.951E-01,1,0,0000,BC,10,56809.15123961,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.880484,26.649666
324.6126189,25.3736209,0.4101,0.4768,-0.1854,15.413,0.162,6.7,8.685E-01,14.637,0.263,4.1,4.646E-01,1,0,0000,BB,10,57345.63116933,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.907471,29.903822
324.6126130,25.3736248,0.4777,0.5372,-0.0682,15.262,0.213,5.1,3.662E-01,14.690,null,1.6,5.925E-01,1,0,0000,BU,10,56986.91709203,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.910146,29.557485
324.6124142,25.3737084,0.3171,0.3121,-0.1406,15.178,0.124,8.7,1.119E+00,14.327,0.167,6.5,1.070E+00,1,0,0000,BB,10,56808.69065868,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.917995,19.102821
324.6124224,25.3737094,0.2836,0.2994,-0.1349,14.943,0.095,11.5,6.819E-01,14.320,0.222,4.9,8.335E-01,1,0,0000,AB,10,57170.76493461,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.930198,19.453073
