HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456085.10898,2012-06-06.6082553,ba,2.02,16.086,>16.086,99.990,0.726,0.282,V
2456220.87256,2012-10-20.3696152,bb,2.11,17.182,17.055,0.195,0.578,0.103,V
2456222.84033,2012-10-22.3375057,bb,2.01,16.524,>16.524,99.990,0.579,0.189,V
2456224.80631,2012-10-24.3036079,bb,2.02,16.672,>16.672,99.990,0.499,0.164,V
2456227.85846,2012-10-27.3559598,bb,1.98,15.823,>15.823,99.990,-0.263,0.360,V
2456227.86029,2012-10-27.3577932,bb,1.99,14.901,>14.901,99.990,0.183,0.840,V
2456230.76046,2012-10-30.2581578,bb,2.04,16.411,>16.411,99.990,0.308,0.209,V
2456232.82159,2012-11-01.3194368,bb,1.98,16.709,>16.709,99.990,0.310,0.159,V
2456240.78831,2012-11-09.2867434,bb,2.16,17.173,>17.173,99.990,0.311,0.104,V
2456246.72704,2012-11-15.2259274,bb,1.73,17.334,17.315,0.216,0.455,0.089,V
2456252.80995,2012-11-21.3093240,bb,1.85,15.335,>15.335,99.990,0.289,0.564,V
2456252.81162,2012-11-21.3109873,bb,1.56,14.915,>14.915,99.990,-0.454,0.829,V
2456257.72996,2012-11-26.2297247,bb,1.98,16.393,>16.393,99.990,0.006,0.213,V
2456268.72863,2012-12-07.2292987,bb,1.82,17.154,>17.154,99.990,0.419,0.106,V
2456274.72789,2012-12-13.2290127,bb,2.30,15.610,>15.610,99.990,1.179,0.437,V
2456288.76145,2012-12-27.2636211,bb,1.98,14.837,>14.837,99.990,-0.066,0.892,V
2456381.13783,2013-03-29.6417524,bb,2.48,15.755,>15.755,99.990,0.581,0.383,V
2456393.10233,2013-04-10.6056935,bb,2.16,16.629,>16.629,99.990,0.425,0.171,V
2456393.10378,2013-04-10.6071436,bb,2.16,16.672,>16.672,99.990,0.548,0.165,V
2456398.11399,2013-04-15.6170710,bb,2.05,16.756,>16.756,99.990,0.152,0.152,V
2456398.11544,2013-04-15.6185215,bb,2.03,16.321,>16.321,99.990,0.424,0.227,V
2456403.10368,2013-04-20.6064594,bb,2.13,16.912,>16.912,99.990,0.522,0.132,V
2456407.10126,2013-04-24.6037743,bb,2.05,16.107,>16.107,99.990,-0.317,0.277,V
2456407.10303,2013-04-24.6055488,bb,2.09,16.125,>16.125,99.990,0.174,0.272,V
2456408.09832,2013-04-25.6007740,bb,1.96,16.013,>16.013,99.990,0.029,0.302,V
2456408.10010,2013-04-25.6025740,bb,1.99,15.966,>15.966,99.990,0.860,0.315,V
2456411.08966,2013-04-28.5919153,bb,2.13,15.982,>15.982,99.990,0.080,0.311,V
2456411.09147,2013-04-28.5937186,bb,2.16,16.075,>16.075,99.990,0.059,0.285,V
2456411.09328,2013-04-28.5955321,bb,2.18,15.639,>15.639,99.990,0.562,0.426,V
2456411.09514,2013-04-28.5973920,bb,2.12,15.241,>15.241,99.990,-0.323,0.614,V
2456415.09697,2013-05-02.5989460,bb,2.05,16.696,>16.696,99.990,0.279,0.161,V
2456415.09917,2013-05-02.6011451,bb,2.01,16.707,>16.707,99.990,0.355,0.159,V
2456437.03978,2013-05-24.5400984,bb,1.94,14.942,>14.942,99.990,-0.763,0.809,V
2456437.04149,2013-05-24.5418030,bb,1.97,14.722,>14.722,99.990,-0.431,0.991,V
2456443.05113,2013-05-30.5509811,bb,2.09,16.555,>16.555,99.990,0.269,0.183,V
2456443.05283,2013-05-30.5526820,bb,2.05,16.444,>16.444,99.990,0.362,0.203,V
2456447.04392,2013-06-03.5434494,bb,1.98,16.911,>16.911,99.990,0.399,0.132,V
2456447.04563,2013-06-03.5451681,bb,2.00,16.893,>16.893,99.990,0.430,0.134,V
2456450.02262,2013-06-06.5219208,bb,2.05,16.718,>16.718,99.990,0.390,0.158,V
2456450.02402,2013-06-06.5233221,bb,2.02,16.810,>16.810,99.990,0.342,0.145,V
2456453.00501,2013-06-09.5040834,bb,1.94,13.836,>13.836,99.990,-1.036,2.242,V
2456455.01365,2013-06-11.5125641,bb,1.86,15.826,>15.826,99.990,0.513,0.359,V
2456455.01503,2013-06-11.5139447,bb,1.73,15.843,>15.843,99.990,0.178,0.353,V
2456460.10184,2013-06-16.6003863,bb,1.97,16.920,>16.920,99.990,0.247,0.131,V
2456460.10325,2013-06-16.6017873,bb,1.74,16.909,16.806,0.200,0.727,0.132,V
2456462.96213,2013-06-19.4604543,bb,1.75,16.511,>16.511,99.990,0.100,0.191,V
2456462.96359,2013-06-19.4619211,bb,1.76,16.383,>16.383,99.990,0.016,0.215,V
2456464.98575,2013-06-21.4839314,bb,1.80,16.158,>16.158,99.990,-0.215,0.264,V
2456464.98712,2013-06-21.4852988,bb,1.84,16.208,>16.208,99.990,0.420,0.252,V
2456466.98148,2013-06-23.4795204,bb,1.96,15.219,>15.219,99.990,-0.462,0.627,V
2456466.98286,2013-06-23.4808903,bb,1.97,15.029,>15.029,99.990,0.149,0.747,V
2456468.99526,2013-06-25.4931495,bb,1.77,16.261,>16.261,99.990,0.734,0.240,V
2456468.99662,2013-06-25.4945194,bb,1.80,16.162,>16.162,99.990,0.041,0.263,V
2456471.98041,2013-06-28.4780987,bb,2.05,16.300,>16.300,99.990,0.479,0.232,V
2456471.98178,2013-06-28.4794649,bb,2.04,16.295,>16.295,99.990,0.179,0.233,V
2456473.99197,2013-06-30.4895273,bb,1.78,16.808,16.699,0.198,0.802,0.145,V
2456473.99334,2013-06-30.4908978,bb,1.73,16.805,>16.805,99.990,0.281,0.146,V
2456476.00076,2013-07-02.4981781,bb,1.73,16.786,>16.786,99.990,0.494,0.148,V
2456476.00215,2013-07-02.4995675,bb,1.65,16.965,>16.965,99.990,0.518,0.126,V
2456478.95547,2013-07-05.4527001,bb,1.67,17.055,16.962,0.202,0.629,0.116,V
2456478.95689,2013-07-05.4541278,bb,1.77,16.923,>16.923,99.990,0.208,0.130,V
2456479.95507,2013-07-06.4522440,bb,1.80,16.975,>16.975,99.990,0.577,0.124,V
2456479.95644,2013-07-06.4536026,bb,1.76,16.990,>16.990,99.990,0.547,0.123,V
2456482.97775,2013-07-09.4747364,bb,2.05,16.861,>16.861,99.990,0.525,0.138,V
2456482.97920,2013-07-09.4761851,bb,2.05,16.766,>16.766,99.990,0.471,0.151,V
2456485.97771,2013-07-12.4745239,bb,2.00,16.938,>16.938,99.990,0.564,0.129,V
2456485.97911,2013-07-12.4759162,bb,2.03,16.877,>16.877,99.990,0.472,0.136,V
2456487.97078,2013-07-14.4674798,bb,1.70,99.990,99.990,99.990,99.990,99.990,V
2456487.97217,2013-07-14.4688616,bb,1.75,16.983,>16.983,99.990,0.128,0.124,V
2456489.98052,2013-07-16.4771017,bb,1.78,16.903,>16.903,99.990,0.128,0.133,V
2456489.98188,2013-07-16.4784688,bb,1.79,16.858,>16.858,99.990,0.497,0.139,V
2456490.93870,2013-07-17.4352413,bb,1.80,16.875,>16.875,99.990,0.345,0.136,V
2456490.94007,2013-07-17.4366075,bb,1.76,16.797,>16.797,99.990,0.189,0.147,V
2456492.94385,2013-07-19.4402829,bb,1.71,16.434,>16.434,99.990,0.685,0.205,V
2456492.94521,2013-07-19.4416405,bb,1.84,16.358,>16.358,99.990,0.511,0.220,V
2456494.95471,2013-07-21.4510458,bb,2.11,13.613,>13.613,99.990,6.238,2.756,V
2456496.91262,2013-07-23.4088614,bb,1.88,15.671,>15.671,99.990,0.553,0.413,V
2456496.91401,2013-07-23.4102538,bb,1.83,15.807,>15.807,99.990,0.249,0.365,V
2456507.91339,2013-08-03.4091879,bb,1.79,16.890,>16.890,99.990,0.306,0.135,V
2456507.91479,2013-08-03.4106020,bb,1.69,16.929,>16.929,99.990,0.039,0.130,V
2456508.94167,2013-08-04.4374304,bb,1.76,16.932,>16.932,99.990,0.317,0.130,V
2456508.94325,2013-08-04.4390182,bb,1.77,17.024,>17.024,99.990,0.138,0.119,V
2456512.92430,2013-08-08.4199434,bb,1.76,99.990,99.990,99.990,99.990,99.990,V
2456512.92584,2013-08-08.4214807,bb,1.69,17.088,>17.088,99.990,0.343,0.112,V
2456517.88060,2013-08-13.3761223,bb,2.06,15.478,>15.478,99.990,0.006,0.494,V
2456517.88203,2013-08-13.3775549,bb,2.05,15.499,>15.499,99.990,-0.064,0.485,V
2456518.84078,2013-08-14.3362777,bb,2.00,16.906,>16.906,99.990,0.586,0.133,V
2456518.84216,2013-08-14.3376688,bb,1.79,16.668,>16.668,99.990,0.584,0.165,V
2456521.86220,2013-08-17.3576524,bb,1.82,16.599,>16.599,99.990,0.114,0.176,V
2456521.86359,2013-08-17.3590319,bb,1.73,16.412,>16.412,99.990,0.406,0.209,V
2456523.87668,2013-08-19.3720924,bb,1.81,16.148,>16.148,99.990,0.375,0.266,V
2456523.87805,2013-08-19.3734618,bb,1.72,15.909,>15.909,99.990,0.331,0.332,V
2456524.88718,2013-08-20.3825791,bb,1.82,15.700,>15.700,99.990,0.331,0.403,V
2456524.88855,2013-08-20.3839498,bb,1.78,15.815,>15.815,99.990,-0.187,0.362,V
2456528.89327,2013-08-24.3886336,bb,1.80,16.281,>16.281,99.990,0.949,0.236,V
2456528.89464,2013-08-24.3900025,bb,1.67,16.593,>16.593,99.990,0.534,0.177,V
2456533.86203,2013-08-29.3573719,bb,1.82,16.926,16.532,0.153,0.935,0.130,V
2456533.86339,2013-08-29.3587291,bb,1.75,16.899,>16.899,99.990,0.664,0.133,V
2456535.89778,2013-08-31.3931200,bb,1.77,16.858,>16.858,99.990,0.473,0.139,V
2456535.89913,2013-08-31.3944763,bb,1.73,16.928,>16.928,99.990,0.370,0.130,V
2456537.89418,2013-09-02.3895324,bb,1.79,16.880,>16.880,99.990,0.438,0.136,V
2456537.89555,2013-09-02.3909034,bb,1.72,16.993,>16.993,99.990,0.503,0.122,V
2456538.85201,2013-09-03.3473663,bb,1.72,99.990,99.990,99.990,99.990,99.990,V
2456538.85338,2013-09-03.3487344,bb,1.73,17.302,>17.302,99.990,0.155,0.092,V
2456543.87508,2013-09-08.3704861,bb,1.76,16.918,>16.918,99.990,0.631,0.131,V
2456543.87644,2013-09-08.3718446,bb,1.80,17.065,>17.065,99.990,0.104,0.115,V
2456544.87713,2013-09-09.3725427,bb,1.68,16.827,>16.827,99.990,0.683,0.143,V
2456544.87850,2013-09-09.3739144,bb,1.70,17.032,16.982,0.209,0.619,0.118,V
2456554.86942,2013-09-19.3650390,bb,1.79,15.672,>15.672,99.990,0.802,0.413,V
2456554.87078,2013-09-19.3664083,bb,1.75,15.745,>15.745,99.990,0.594,0.386,V
2456559.84550,2013-09-24.3412722,bb,1.71,15.840,>15.840,99.990,1.269,0.354,V
2456559.84687,2013-09-24.3426447,bb,1.68,15.965,>15.965,99.990,0.265,0.315,V
2456562.79022,2013-09-27.2860951,bb,2.19,16.835,>16.835,99.990,0.360,0.142,V
2456562.79159,2013-09-27.2874670,bb,2.17,16.845,>16.845,99.990,0.614,0.140,V
2456568.84379,2013-10-03.3399146,bb,2.47,16.300,>16.300,99.990,0.627,0.232,V
2456568.84515,2013-10-03.3412729,bb,2.49,16.491,>16.491,99.990,0.758,0.194,V
2456569.82963,2013-10-04.3257951,bb,2.16,16.392,>16.392,99.990,0.243,0.213,V
2456569.83100,2013-10-04.3271677,bb,2.21,15.736,>15.736,99.990,1.495,0.389,V
2456570.91392,2013-10-05.4101412,bb,2.07,16.930,>16.930,99.990,0.483,0.130,V
2456570.91529,2013-10-05.4115052,bb,2.05,16.830,>16.830,99.990,0.048,0.142,V
2456574.84199,2013-10-09.3383946,bb,2.01,14.131,>14.131,99.990,1.693,1.708,V
2456574.84336,2013-10-09.3397646,bb,2.11,14.028,>14.028,99.990,4.124,1.880,V
2456575.81831,2013-10-10.3147706,bb,1.76,16.731,>16.731,99.990,0.542,0.156,V
2456575.81967,2013-10-10.316125,bb,1.77,16.756,>16.756,99.990,0.531,0.152,V
2456588.79887,2013-10-23.2960859,bb,1.74,16.583,>16.583,99.990,0.540,0.179,V
2456588.80023,2013-10-23.2974413,bb,1.70,16.563,>16.563,99.990,0.120,0.182,V
2456589.77540,2013-10-24.2726803,bc,1.52,16.121,>16.121,99.990,0.130,0.273,V
2456589.77678,2013-10-24.2740533,bc,1.57,16.000,>16.000,99.990,0.175,0.305,V
2456590.78390,2013-10-25.2812403,bb,2.09,16.518,>16.518,99.990,0.523,0.190,V
2456590.78527,2013-10-25.2826111,bb,2.08,16.517,>16.517,99.990,0.491,0.190,V
2456593.77708,2013-10-28.2746278,bb,1.70,16.521,>16.521,99.990,0.353,0.189,V
2456593.77845,2013-10-28.2759978,bb,1.68,16.669,>16.669,99.990,0.064,0.165,V
2456595.78647,2013-10-30.2841517,bb,2.41,16.532,>16.532,99.990,0.438,0.187,V
2456597.77146,2013-11-01.2692832,bb,2.12,16.771,>16.771,99.990,0.393,0.150,V
2456597.77283,2013-11-01.2706518,bb,2.13,16.851,>16.851,99.990,0.184,0.140,V
2456613.72717,2013-11-17.2261974,ba,2.36,15.472,>15.472,99.990,1.062,0.497,V
2456737.13608,2014-03-20.6399234,ba,1.83,15.918,>15.918,99.990,-0.051,0.329,V
2456737.13739,2014-03-20.6412370,ba,1.80,15.754,>15.754,99.990,1.002,0.383,V
2456742.12276,2014-03-25.6264383,ba,2.00,16.186,>16.186,99.990,0.638,0.257,V
2456742.12410,2014-03-25.6277760,ba,2.00,16.099,>16.099,99.990,0.342,0.279,V
2456742.14585,2014-03-25.6495299,bb,1.70,15.668,>15.668,99.990,0.311,0.415,V
2456742.14718,2014-03-25.6508538,bb,1.73,15.514,>15.514,99.990,0.755,0.478,V
2456751.11789,2014-04-03.6211952,ba,2.13,16.489,>16.489,99.990,0.199,0.195,V
2456751.11964,2014-04-03.6229545,ba,2.12,16.483,>16.483,99.990,0.714,0.196,V
2456756.12824,2014-04-08.6313054,bb,2.33,16.346,>16.346,99.990,0.245,0.222,V
2456756.13123,2014-04-08.6343,bb,2.23,15.657,>15.657,99.990,0.213,0.419,V
2456757.11600,2014-04-09.6190188,bb,1.75,16.687,>16.687,99.990,0.340,0.162,V
2456757.11732,2014-04-09.6203344,bb,1.77,16.652,>16.652,99.990,0.569,0.168,V
2456759.09988,2014-04-11.6027901,ba,2.04,16.516,>16.516,99.990,0.197,0.190,V
2456759.10122,2014-04-11.6041265,ba,2.07,16.594,>16.594,99.990,0.044,0.177,V
2456759.10809,2014-04-11.6110056,bb,2.27,16.526,>16.526,99.990,0.518,0.188,V
2456759.10941,2014-04-11.6123202,bb,2.27,16.639,>16.639,99.990,0.578,0.170,V
2456760.11209,2014-04-12.6149436,bb,1.71,16.614,>16.614,99.990,0.604,0.174,V
2456760.11342,2014-04-12.6162741,bb,1.64,16.977,>16.977,99.990,0.590,0.124,V
2456765.08926,2014-04-17.5918284,ba,1.86,15.728,>15.728,99.990,0.443,0.393,V
2456765.09065,2014-04-17.5932185,ba,2.00,15.827,>15.827,99.990,-0.037,0.358,V
2456772.08929,2014-04-24.5914222,ba,1.98,16.603,>16.603,99.990,0.780,0.175,V
2456772.09072,2014-04-24.5928515,ba,2.03,16.565,>16.565,99.990,0.722,0.182,V
2456778.07958,2014-04-30.5813077,bb,2.05,16.671,>16.671,99.990,0.532,0.165,V
2456778.08099,2014-04-30.5827134,bb,2.05,16.698,>16.698,99.990,-0.093,0.161,V
2456782.07344,2014-05-04.5748850,bb,2.18,16.648,>16.648,99.990,0.615,0.168,V
2456782.07485,2014-05-04.5762920,bb,2.19,16.580,>16.580,99.990,0.213,0.179,V
2456784.06691,2014-05-06.5682104,ba,2.13,16.768,>16.768,99.990,0.143,0.151,V
2456784.06830,2014-05-06.5695983,ba,2.13,16.745,>16.745,99.990,0.535,0.154,V
2456784.08095,2014-05-06.5822511,bb,1.77,16.981,>16.981,99.990,0.276,0.124,V
2456784.08236,2014-05-06.5836568,bb,1.76,16.923,>16.923,99.990,0.551,0.131,V
2456785.06737,2014-05-07.5685949,bb,1.69,16.844,>16.844,99.990,0.189,0.140,V
2456785.06870,2014-05-07.5699234,bb,1.79,16.896,>16.896,99.990,0.355,0.134,V
2456788.04670,2014-05-10.5476994,ba,1.87,16.758,>16.758,99.990,0.545,0.152,V
2456788.04803,2014-05-10.5490343,ba,1.83,16.725,>16.725,99.990,0.062,0.157,V
2456788.05759,2014-05-10.5585947,bb,1.73,16.769,>16.769,99.990,0.511,0.150,V
2456788.05892,2014-05-10.5599271,bb,1.75,16.933,>16.933,99.990,0.534,0.129,V
2456789.04878,2014-05-11.5497099,ba,2.49,16.167,>16.167,99.990,0.069,0.262,V
2456789.05958,2014-05-11.5605042,bb,2.36,16.445,>16.445,99.990,0.280,0.203,V
2456789.06090,2014-05-11.5618244,bb,2.33,16.430,>16.430,99.990,0.166,0.206,V
2456789.11044,2014-05-11.6113699,ba,2.48,16.777,>16.777,99.990,0.310,0.149,V
2456789.11183,2014-05-11.6127543,ba,2.47,16.884,>16.884,99.990,0.493,0.135,V
2456793.05389,2014-05-15.5545174,ba,2.34,15.647,>15.647,99.990,0.160,0.423,V
2456793.05523,2014-05-15.5558546,ba,2.35,15.532,>15.532,99.990,0.082,0.470,V
2456795.05774,2014-05-17.5582153,bb,1.69,16.177,>16.177,99.990,0.551,0.259,V
2456795.05914,2014-05-17.5596211,bb,1.78,16.333,>16.333,99.990,0.478,0.225,V
2456797.04787,2014-05-19.5481875,ba,2.23,16.167,>16.167,99.990,0.381,0.262,V
2456797.04923,2014-05-19.5495475,ba,2.23,16.055,>16.055,99.990,0.278,0.290,V
2456799.04119,2014-05-21.5413613,bb,1.74,16.593,>16.593,99.990,0.137,0.177,V
2456799.04261,2014-05-21.5427684,bb,1.75,16.332,>16.332,99.990,0.542,0.225,V
2456801.02567,2014-05-23.5256834,ba,2.10,16.586,>16.586,99.990,0.516,0.178,V
2456801.02705,2014-05-23.5270637,ba,2.10,16.730,>16.730,99.990,0.313,0.156,V
2456802.02809,2014-05-24.5280204,bb,2.00,16.804,>16.804,99.990,-0.093,0.146,V
2456802.02946,2014-05-24.5293924,bb,2.00,16.722,>16.722,99.990,0.750,0.157,V
2456803.02113,2014-05-25.5209876,ba,2.22,16.499,>16.499,99.990,0.695,0.193,V
2456803.02254,2014-05-25.5223964,ba,2.23,16.371,>16.371,99.990,0.043,0.217,V
2456804.04659,2014-05-26.5463660,bb,1.69,16.779,>16.779,99.990,0.529,0.149,V
2456804.04802,2014-05-26.5477938,bb,1.76,16.836,>16.836,99.990,0.691,0.141,V
2456805.03329,2014-05-27.5329848,ba,2.30,16.718,>16.718,99.990,-0.089,0.158,V
2456805.03472,2014-05-27.5344244,ba,2.31,16.813,>16.813,99.990,0.417,0.144,V
2456806.04373,2014-05-28.5433486,bb,2.16,16.843,>16.843,99.990,0.178,0.141,V
2456806.04514,2014-05-28.5447631,bb,2.18,16.853,>16.853,99.990,0.281,0.139,V
2456809.01484,2014-05-31.5142262,ba,2.38,16.640,>16.640,99.990,0.250,0.169,V
2456809.01619,2014-05-31.5155780,ba,2.38,16.604,>16.604,99.990,0.620,0.175,V
2456810.02329,2014-06-01.5225954,ba,2.43,16.683,>16.683,99.990,0.364,0.163,V
2456810.02465,2014-06-01.5239565,ba,2.40,16.870,>16.870,99.990,0.311,0.137,V
2456811.04132,2014-06-02.5405539,bb,2.25,16.877,>16.877,99.990,0.237,0.136,V
2456811.04271,2014-06-02.5419423,bb,2.23,16.848,>16.848,99.990,0.296,0.140,V
2456813.02353,2014-06-04.5226023,ba,1.68,16.767,>16.767,99.990,0.361,0.151,V
2456813.02485,2014-06-04.5239258,ba,1.68,16.824,16.807,0.216,0.727,0.143,V
2456813.03699,2014-06-04.5360659,bb,2.11,16.732,>16.732,99.990,0.725,0.156,V
2456813.03831,2014-06-04.5373851,bb,2.10,17.000,>17.000,99.990,0.351,0.122,V
2456815.02318,2014-06-06.5220932,ba,1.62,16.606,>16.606,99.990,0.236,0.175,V
2456815.02450,2014-06-06.5234206,ba,1.67,16.488,>16.488,99.990,0.557,0.195,V
2456815.03411,2014-06-06.5330266,bb,2.16,16.666,>16.666,99.990,0.664,0.165,V
2456815.03544,2014-06-06.5343509,bb,2.11,16.553,>16.553,99.990,0.494,0.184,V
2456816.01110,2014-06-07.5099401,ba,1.70,17.072,17.044,0.214,0.584,0.114,V
2456816.01252,2014-06-07.5113596,ba,1.71,16.986,>16.986,99.990,0.460,0.123,V
2456816.02232,2014-06-07.5211631,bb,2.07,16.861,>16.861,99.990,0.409,0.138,V
2456816.02369,2014-06-07.5225342,bb,2.07,16.899,>16.899,99.990,0.096,0.133,V
2456817.00617,2014-06-08.5049383,ba,1.72,16.695,>16.695,99.990,0.414,0.161,V
2456817.00756,2014-06-08.5063265,ba,1.64,16.969,>16.969,99.990,0.425,0.125,V
2456818.01439,2014-06-09.5130776,ba,1.70,16.508,>16.508,99.990,0.676,0.191,V
2456818.01575,2014-06-09.5144376,ba,1.69,16.393,>16.393,99.990,0.534,0.213,V
2456818.03936,2014-06-09.5380445,bb,2.10,16.764,>16.764,99.990,0.358,0.151,V
2456818.04072,2014-06-09.5394072,bb,2.11,16.836,>16.836,99.990,0.336,0.141,V
2456818.94999,2014-06-10.4486009,ba,1.75,15.989,>15.989,99.990,0.094,0.309,V
2456818.95139,2014-06-10.4500089,ba,1.76,15.962,>15.962,99.990,0.583,0.316,V
2456819.01751,2014-06-10.5161195,bb,1.77,16.303,>16.303,99.990,0.270,0.231,V
2456819.01892,2014-06-10.5175357,bb,1.77,16.390,>16.390,99.990,0.474,0.213,V
2456819.96266,2014-06-11.4612055,bb,1.68,16.036,>16.036,99.990,0.291,0.295,V
2456819.96407,2014-06-11.4626107,bb,1.69,16.028,>16.028,99.990,0.671,0.298,V
2456820.00920,2014-06-11.5077317,ba,1.83,16.019,>16.019,99.990,0.922,0.300,V
2456820.01063,2014-06-11.5091714,ba,1.75,16.070,>16.070,99.990,-0.080,0.286,V
2456820.98936,2014-06-12.4878175,bb,2.04,15.657,>15.657,99.990,0.331,0.419,V
2456820.99076,2014-06-12.4892188,bb,2.08,15.716,>15.716,99.990,0.677,0.397,V
2456821.00383,2014-06-12.5022847,ba,1.64,15.837,>15.837,99.990,-0.055,0.355,V
2456821.00525,2014-06-12.5037093,ba,1.76,15.841,>15.841,99.990,0.015,0.354,V
2456822.01657,2014-06-13.5149493,ba,1.78,15.910,>15.910,99.990,0.499,0.332,V
2456822.01797,2014-06-13.5163575,ba,1.68,15.790,>15.790,99.990,0.231,0.371,V
2456822.02512,2014-06-13.5235016,bb,2.17,15.860,>15.860,99.990,0.583,0.347,V
2456822.02654,2014-06-13.5249179,bb,2.15,15.752,>15.752,99.990,0.452,0.384,V
2456823.02079,2014-06-14.5191023,bb,2.22,15.881,>15.881,99.990,1.009,0.341,V
2456823.02244,2014-06-14.5207447,bb,2.19,15.953,>15.953,99.990,0.513,0.319,V
2456824.01216,2014-06-15.5103988,ba,2.17,15.967,>15.967,99.990,0.329,0.315,V
2456824.01364,2014-06-15.5118769,ba,2.15,15.902,>15.902,99.990,-0.175,0.334,V
2456827.01853,2014-06-18.5165391,bb,2.35,16.160,>16.160,99.990,-0.306,0.263,V
2456827.01998,2014-06-18.5179842,bb,2.36,16.157,>16.157,99.990,0.650,0.264,V
2456827.91500,2014-06-19.4129368,ba,1.72,16.530,>16.530,99.990,0.485,0.188,V
2456827.91640,2014-06-19.4143483,ba,1.71,16.649,>16.649,99.990,0.416,0.168,V
2456829.96190,2014-06-21.4596939,bb,2.30,16.775,>16.775,99.990,0.583,0.150,V
2456829.96333,2014-06-21.4611268,bb,2.30,16.642,>16.642,99.990,0.432,0.169,V
2456829.99973,2014-06-21.4975168,ba,1.66,16.783,>16.783,99.990,0.643,0.148,V
2456830.00116,2014-06-21.4989449,ba,1.61,16.782,>16.782,99.990,0.253,0.149,V
2456832.99108,2014-06-24.4886545,ba,1.68,16.922,>16.922,99.990,0.366,0.131,V
2456832.99251,2014-06-24.4900837,ba,1.75,16.888,>16.888,99.990,0.415,0.135,V
2456833.00561,2014-06-24.5031840,bb,2.00,17.041,>17.041,99.990,0.510,0.117,V
2456833.00703,2014-06-24.5046109,bb,2.00,16.836,>16.836,99.990,0.441,0.141,V
2456835.98549,2014-06-27.4828578,ba,2.14,16.816,>16.816,99.990,0.542,0.144,V
2456835.98691,2014-06-27.4842832,ba,2.15,16.759,>16.759,99.990,0.455,0.152,V
2456835.99714,2014-06-27.4945031,bb,1.73,17.095,>17.095,99.990,0.254,0.111,V
2456835.99857,2014-06-27.4959406,bb,1.71,16.973,>16.973,99.990,0.398,0.125,V
2456846.97372,2014-07-08.4703741,ba,2.04,16.129,>16.129,99.990,0.411,0.271,V
2456846.97513,2014-07-08.4717848,ba,2.04,15.879,>15.879,99.990,0.490,0.341,V
2456846.98544,2014-07-08.4820907,bb,1.70,16.107,>16.107,99.990,0.681,0.277,V
2456846.98694,2014-07-08.4835965,bb,1.64,16.072,>16.072,99.990,-0.262,0.286,V
2456847.91204,2014-07-09.4086425,bb,1.76,16.343,>16.343,99.990,0.283,0.223,V
2456847.91349,2014-07-09.4100824,bb,1.71,16.210,>16.210,99.990,0.194,0.252,V
2456847.95330,2014-07-09.4498934,ba,1.78,16.213,>16.213,99.990,0.346,0.251,V
2456847.95472,2014-07-09.4513185,ba,1.79,16.173,>16.173,99.990,0.022,0.260,V
2456848.05645,2014-07-09.5530398,bb,1.70,15.149,>15.149,99.990,0.845,0.669,V
2456848.05787,2014-07-09.5544618,bb,1.75,14.721,>14.721,99.990,2.386,0.993,V
2456848.97490,2014-07-10.4714343,ba,2.03,16.137,>16.137,99.990,0.053,0.269,V
2456848.97633,2014-07-10.4728643,ba,2.01,16.116,>16.116,99.990,-0.021,0.274,V
2456848.98667,2014-07-10.4832069,bb,1.68,16.309,>16.309,99.990,0.729,0.230,V
2456848.98810,2014-07-10.4846336,bb,1.72,16.211,>16.211,99.990,0.419,0.251,V
2456849.97632,2014-07-11.4727964,ba,1.98,15.859,>15.859,99.990,0.422,0.348,V
2456849.97784,2014-07-11.4743206,ba,2.00,15.862,>15.862,99.990,-0.163,0.347,V
2456849.98828,2014-07-11.4847572,bb,1.75,16.060,>16.060,99.990,0.482,0.289,V
2456849.98972,2014-07-11.4861936,bb,1.82,16.015,>16.015,99.990,0.437,0.301,V
2456850.97329,2014-07-12.4697053,ba,1.80,15.779,>15.779,99.990,0.271,0.374,V
2456850.97476,2014-07-12.4711829,ba,1.81,15.692,>15.692,99.990,0.779,0.406,V
2456850.98500,2014-07-12.4814214,bb,1.97,15.843,>15.843,99.990,0.319,0.353,V
2456850.98642,2014-07-12.4828412,bb,1.70,15.900,>15.900,99.990,0.098,0.335,V
2456851.97609,2014-07-13.4724538,bb,2.00,14.700,>14.700,99.990,-1.096,1.012,V
2456851.97759,2014-07-13.4739533,bb,2.01,14.559,>14.559,99.990,-0.097,1.152,V
2456853.89448,2014-07-15.3907337,bb,2.10,15.731,>15.731,99.990,0.000,0.391,V
2456853.89589,2014-07-15.3921501,bb,2.01,15.253,>15.253,99.990,0.267,0.608,V
2456854.96993,2014-07-16.4661298,ba,2.00,16.254,>16.254,99.990,0.567,0.242,V
2456854.97133,2014-07-16.4675297,ba,1.74,16.159,>16.159,99.990,0.404,0.264,V
2456856.02929,2014-07-17.5254321,bb,1.68,15.520,>15.520,99.990,-0.102,0.475,V
2456856.03076,2014-07-17.5269027,bb,1.76,15.679,>15.679,99.990,0.747,0.411,V
2456857.11931,2014-07-18.6153954,ba,1.67,16.624,>16.624,99.990,0.579,0.172,V
2456857.12084,2014-07-18.6169290,ba,1.65,16.505,>16.505,99.990,0.811,0.192,V
2456857.12554,2014-07-18.6216281,bb,2.00,16.221,>16.221,99.990,0.736,0.249,V
