HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458058.63541,2017-11-01.1332296,br,1.52,16.434,>16.434,99.990,0.186,0.194,g
2458058.63664,2017-11-01.1344501,br,1.54,16.631,>16.631,99.990,-0.187,0.162,g
2458058.63786,2017-11-01.1356674,br,1.57,16.570,>16.570,99.990,0.247,0.171,g
2458058.66494,2017-11-01.1627592,bq,1.61,16.385,>16.385,99.990,0.192,0.203,g
2458058.66615,2017-11-01.1639685,bq,1.63,16.316,>16.316,99.990,0.796,0.216,g
2458058.66737,2017-11-01.1651811,bq,1.65,16.247,>16.247,99.990,0.477,0.230,g
2458059.71619,2017-11-02.2140851,br,1.53,16.343,>16.343,99.990,0.510,0.211,g
2458059.71742,2017-11-02.2153087,br,1.51,16.281,>16.281,99.990,0.779,0.223,g
2458059.71863,2017-11-02.2165206,br,1.53,16.232,>16.232,99.990,0.567,0.234,g
2458059.71987,2017-11-02.2177584,bq,2.05,15.986,>15.986,99.990,0.368,0.293,g
2458059.72107,2017-11-02.2189651,bq,2.00,16.069,>16.069,99.990,0.476,0.271,g
2458059.72230,2017-11-02.2201920,bq,2.00,16.130,>16.130,99.990,0.296,0.256,g
2458059.81731,2017-11-02.3152119,ba,1.73,15.627,>15.627,99.990,0.457,0.431,V
2458059.81859,2017-11-02.3164827,ba,1.78,15.647,>15.647,99.990,0.731,0.423,V
2458059.81984,2017-11-02.3177390,ba,1.82,15.575,>15.575,99.990,0.607,0.452,V
2458060.71478,2017-11-03.2127480,bq,1.70,16.048,>16.048,99.990,-0.060,0.277,g
2458060.71601,2017-11-03.2139722,bq,1.72,15.985,>15.985,99.990,0.506,0.293,g
2458060.71723,2017-11-03.2151878,bq,1.80,15.857,>15.857,99.990,-0.385,0.330,g
2458060.73685,2017-11-03.2348156,br,1.58,16.106,>16.106,99.990,0.145,0.262,g
2458060.73806,2017-11-03.2360248,br,1.59,15.952,>15.952,99.990,0.265,0.302,g
2458060.73926,2017-11-03.2372304,br,1.56,16.105,>16.105,99.990,0.034,0.263,g
2458060.80851,2017-11-03.3064813,ba,2.04,15.567,>15.567,99.990,0.490,0.455,V
2458060.80977,2017-11-03.3077423,ba,2.06,15.726,>15.726,99.990,-2.019,0.393,V
2458060.81104,2017-11-03.3090069,ba,2.04,15.609,>15.609,99.990,0.553,0.438,V
2458062.80372,2017-11-05.3018295,ba,2.06,15.688,>15.688,99.990,-0.142,0.407,V
2458062.80498,2017-11-05.3030980,ba,2.04,15.626,>15.626,99.990,1.192,0.431,V
2458062.80625,2017-11-05.3043603,ba,2.09,15.692,>15.692,99.990,-0.061,0.406,V
2458063.71168,2017-11-06.2098620,bq,2.07,16.239,>16.239,99.990,0.106,0.232,g
2458063.71289,2017-11-06.2110815,bq,2.08,16.206,>16.206,99.990,0.392,0.239,g
2458063.71412,2017-11-06.2123104,bq,2.06,16.177,>16.177,99.990,0.355,0.246,g
2458063.73532,2017-11-06.2335120,br,1.61,16.349,>16.349,99.990,0.690,0.210,g
2458063.73654,2017-11-06.2347297,br,1.61,16.268,>16.268,99.990,-0.100,0.226,g
2458063.73777,2017-11-06.2359473,br,1.56,16.459,>16.459,99.990,0.544,0.189,g
2458063.79955,2017-11-06.2977408,ba,1.77,15.977,>15.977,99.990,0.793,0.312,V
2458063.80080,2017-11-06.2989947,ba,1.78,15.999,>15.999,99.990,0.767,0.306,V
2458063.80207,2017-11-06.3002649,ba,1.77,15.808,>15.808,99.990,0.350,0.365,V
2458064.54340,2017-11-07.0416440,bq,2.02,16.724,>16.724,99.990,0.218,0.148,g
2458064.54462,2017-11-07.0428673,bq,2.03,16.730,>16.730,99.990,0.490,0.148,g
2458064.54585,2017-11-07.0440998,bq,2.01,16.826,>16.826,99.990,0.149,0.135,g
2458065.79480,2017-11-08.2931407,ba,2.02,14.007,>14.007,99.990,-1.865,1.914,V
2458065.79606,2017-11-08.2944031,ba,2.05,13.384,>13.384,99.990,-1.206,3.399,V
2458066.78905,2017-11-09.2874584,ba,1.99,16.632,>16.632,99.990,0.294,0.171,V
2458066.79031,2017-11-09.2887211,ba,1.76,16.766,>16.766,99.990,0.581,0.151,V
2458066.79158,2017-11-09.2899855,ba,2.03,16.451,>16.451,99.990,0.496,0.202,V
2458067.68436,2017-11-10.1828452,bq,1.64,17.277,17.130,0.192,0.510,0.089,g
2458067.68560,2017-11-10.1840788,bq,1.63,17.029,>17.029,99.990,0.461,0.112,g
2458067.68681,2017-11-10.1852946,bq,1.63,17.091,>17.091,99.990,0.387,0.106,g
2458067.70626,2017-11-10.2047371,br,1.62,99.990,99.990,99.990,99.990,99.990,g
2458067.70747,2017-11-10.2059593,br,1.62,99.990,99.990,99.990,99.990,99.990,g
2458067.70869,2017-11-10.2071745,br,1.55,99.990,99.990,99.990,99.990,99.990,g
2458067.79058,2017-11-10.2890651,ba,1.76,16.687,>16.687,99.990,0.065,0.162,V
2458067.79184,2017-11-10.2903302,ba,1.72,16.502,>16.502,99.990,0.312,0.192,V
2458067.79310,2017-11-10.2915840,ba,1.72,16.711,>16.711,99.990,0.445,0.159,V
2458068.67778,2017-11-11.1763336,bq,1.59,17.313,17.152,0.189,0.500,0.086,g
2458068.67900,2017-11-11.1775486,bq,1.59,17.207,>17.207,99.990,0.394,0.095,g
2458068.68022,2017-11-11.1787762,bq,1.64,17.148,17.025,0.196,0.562,0.100,g
2458068.69622,2017-11-11.1947756,br,1.46,17.421,17.035,0.154,0.557,0.078,g
2458068.69743,2017-11-11.1959918,br,1.49,99.990,99.990,99.990,99.990,99.990,g
2458068.69864,2017-11-11.1972012,br,1.56,17.436,17.388,0.210,0.403,0.077,g
2458068.78461,2017-11-11.2831737,ba,1.80,16.764,>16.764,99.990,0.348,0.151,V
2458068.78587,2017-11-11.2844300,ba,1.76,16.463,>16.463,99.990,0.668,0.200,V
2458068.78712,2017-11-11.2856855,ba,1.79,16.672,>16.672,99.990,0.160,0.165,V
2458069.67044,2017-11-12.1690805,bq,1.58,17.147,>17.147,99.990,0.327,0.100,g
2458069.67166,2017-11-12.1702976,bq,1.68,17.201,>17.201,99.990,0.463,0.096,g
2458069.67288,2017-11-12.1715128,bq,1.69,17.175,>17.175,99.990,0.418,0.098,g
2458069.69251,2017-11-12.1911459,br,1.43,17.497,17.052,0.146,0.548,0.073,g
2458069.69373,2017-11-12.1923628,br,1.45,17.642,17.156,0.140,0.499,0.064,g
2458069.69495,2017-11-12.1935806,br,1.44,17.667,17.351,0.164,0.416,0.062,g
2458070.66737,2017-11-13.1660799,bq,1.53,16.634,>16.634,99.990,0.305,0.161,g
2458070.66858,2017-11-13.1672961,bq,1.51,16.808,16.712,0.201,0.750,0.137,g
2458070.66980,2017-11-13.1685121,bq,1.52,16.680,>16.680,99.990,0.572,0.155,g
2458070.68944,2017-11-13.1881530,br,1.52,17.553,17.204,0.159,0.477,0.069,g
2458070.69065,2017-11-13.1893598,br,1.56,17.467,>17.467,99.990,0.341,0.075,g
2458070.69187,2017-11-13.1905783,br,1.55,17.446,17.261,0.185,0.452,0.076,g
2458070.77843,2017-11-13.2771439,ba,2.11,16.636,>16.636,99.990,0.612,0.170,V
2458070.77968,2017-11-13.2784013,ba,2.13,16.642,>16.642,99.990,0.213,0.169,V
2458070.78094,2017-11-13.2796554,ba,2.13,16.574,>16.574,99.990,0.424,0.180,V
2458071.67071,2017-11-14.1694976,bq,1.60,17.307,>17.307,99.990,0.389,0.087,g
2458071.67198,2017-11-14.1707604,bq,1.64,17.338,16.639,0.115,0.802,0.084,g
2458071.67322,2017-11-14.1720003,bq,1.61,17.278,17.090,0.185,0.529,0.089,g
2458071.68652,2017-11-14.1853065,br,1.59,17.587,17.370,0.180,0.409,0.067,g
2458071.68774,2017-11-14.1865263,br,1.47,17.352,17.282,0.205,0.444,0.083,g
2458071.68895,2017-11-14.1877355,br,1.47,17.571,>17.571,99.990,0.304,0.068,g
2458071.77427,2017-11-14.2730594,ba,1.75,16.615,>16.615,99.990,0.371,0.173,V
2458071.77553,2017-11-14.2743266,ba,1.67,16.604,>16.604,99.990,0.264,0.175,V
2458071.77680,2017-11-14.2755872,ba,1.74,16.545,>16.545,99.990,0.287,0.185,V
2458072.63966,2017-11-15.1385287,bq,1.53,17.227,>17.227,99.990,0.454,0.093,g
2458072.64089,2017-11-15.1397540,bq,1.57,17.371,17.367,0.219,0.410,0.082,g
2458072.64211,2017-11-15.1409748,bq,1.50,17.282,>17.282,99.990,0.383,0.089,g
2458072.65809,2017-11-15.1569611,br,1.53,17.718,17.259,0.144,0.453,0.059,g
2458072.65933,2017-11-15.1581981,br,1.53,17.709,17.429,0.170,0.388,0.060,g
2458072.66057,2017-11-15.1594339,br,1.50,17.559,17.339,0.179,0.421,0.069,g
2458072.77020,2017-11-15.2690704,ba,1.70,16.692,>16.692,99.990,0.153,0.162,V
2458072.77145,2017-11-15.2703277,ba,1.65,16.841,>16.841,99.990,0.472,0.141,V
2458072.77272,2017-11-15.2715912,ba,1.64,16.754,>16.754,99.990,0.253,0.152,V
2458074.52137,2017-11-17.0203758,bf,1.45,16.341,>16.341,99.990,0.513,0.223,V
2458074.52263,2017-11-17.0216403,bf,1.48,16.307,>16.307,99.990,0.312,0.230,V
2458074.52390,2017-11-17.0229043,bf,1.44,16.486,>16.486,99.990,0.291,0.195,V
2458074.63141,2017-11-17.1304347,bq,1.50,17.180,16.615,0.130,0.820,0.098,g
2458074.63263,2017-11-17.1316519,bq,1.49,17.247,>17.247,99.990,0.375,0.092,g
2458074.63384,2017-11-17.1328598,bq,1.50,17.235,>17.235,99.990,0.382,0.093,g
2458074.65345,2017-11-17.1524650,br,1.49,17.567,17.149,0.149,0.502,0.068,g
2458074.65466,2017-11-17.1536814,br,1.46,17.621,17.514,0.199,0.359,0.065,g
2458074.65587,2017-11-17.1548918,br,1.49,99.990,99.990,99.990,99.990,99.990,g
2458075.51809,2017-11-18.0171752,bf,1.44,16.196,>16.196,99.990,0.419,0.255,V
2458075.51941,2017-11-18.0184913,bf,1.45,16.283,>16.283,99.990,0.688,0.235,V
2458075.52067,2017-11-18.0197546,bf,1.39,16.067,>16.067,99.990,0.346,0.287,V
2458075.62639,2017-11-18.1254810,bq,1.52,17.259,>17.259,99.990,0.364,0.091,g
2458075.62760,2017-11-18.1266971,bq,1.49,17.192,>17.192,99.990,0.361,0.096,g
2458075.62882,2017-11-18.1279143,bq,1.60,17.247,>17.247,99.990,0.404,0.092,g
2458075.64476,2017-11-18.1438549,br,1.46,99.990,99.990,99.990,99.990,99.990,g
2458075.64597,2017-11-18.1450607,br,1.52,17.678,17.570,0.198,0.341,0.062,g
2458075.64719,2017-11-18.1462781,br,1.42,17.706,17.440,0.172,0.384,0.060,g
2458076.51474,2017-11-19.0139053,bf,1.47,15.758,>15.758,99.990,1.181,0.382,V
2458076.51601,2017-11-19.0151753,bf,1.45,15.916,>15.916,99.990,0.510,0.330,V
2458076.51727,2017-11-19.0164350,bf,1.48,16.000,>16.000,99.990,0.306,0.305,V
2458077.64507,2017-11-20.1443247,br,2.16,17.577,>17.577,99.990,0.289,0.068,g
2458077.64628,2017-11-20.1455369,br,2.22,17.600,17.451,0.191,0.380,0.066,g
2458077.64750,2017-11-20.1467531,br,2.23,17.554,>17.554,99.990,0.332,0.069,g
2458077.77298,2017-11-20.2722479,bb,2.27,16.560,>16.560,99.990,0.307,0.182,V
2458077.77424,2017-11-20.2735045,bb,2.08,16.529,>16.529,99.990,0.496,0.188,V
2458079.61896,2017-11-22.1183690,bq,1.52,17.175,>17.175,99.990,0.418,0.098,g
2458079.62018,2017-11-22.1195942,bq,1.58,17.151,16.914,0.176,0.623,0.100,g
2458079.62140,2017-11-22.1208097,bq,1.54,17.328,>17.328,99.990,0.211,0.085,g
2458079.63744,2017-11-22.1368543,br,1.54,17.382,17.336,0.210,0.422,0.081,g
2458079.63864,2017-11-22.1380621,br,1.71,17.450,17.397,0.209,0.399,0.076,g
2458079.63985,2017-11-22.1392665,br,1.60,17.382,>17.382,99.990,0.312,0.081,g
2458079.73810,2017-11-22.2375203,ba,1.69,16.658,>16.658,99.990,0.549,0.167,V
2458079.73936,2017-11-22.2387835,ba,1.70,16.643,>16.643,99.990,0.596,0.169,V
2458079.74062,2017-11-22.2400379,ba,1.70,16.790,>16.790,99.990,0.356,0.148,V
2458080.53368,2017-11-23.0331555,br,2.33,16.020,>16.020,99.990,-0.054,0.284,g
2458080.53488,2017-11-23.0343667,br,2.23,16.325,>16.325,99.990,0.595,0.214,g
2458080.53611,2017-11-23.0355936,br,2.20,16.278,>16.278,99.990,0.203,0.224,g
2458080.57044,2017-11-23.0699282,bq,1.72,16.974,>16.974,99.990,0.428,0.118,g
2458080.57165,2017-11-23.0711351,bq,1.74,16.953,>16.953,99.990,0.506,0.120,g
2458080.57285,2017-11-23.0723417,bq,1.75,16.994,>16.994,99.990,0.297,0.116,g
2458081.53347,2017-11-24.0330373,br,2.35,15.749,>15.749,99.990,-0.413,0.364,g
2458081.53470,2017-11-24.0342699,br,2.34,16.113,>16.113,99.990,0.282,0.260,g
2458081.53593,2017-11-24.0354921,br,2.28,16.223,>16.223,99.990,0.671,0.236,g
2458082.68795,2017-11-25.1876008,bb,2.21,15.914,>15.914,99.990,0.834,0.331,V
2458082.68921,2017-11-25.1888692,bb,2.23,16.101,>16.101,99.990,0.514,0.278,V
2458082.69047,2017-11-25.1901307,bb,2.18,16.016,>16.016,99.990,0.156,0.301,V
2458085.54011,2017-11-28.0400020,br,2.13,16.994,>16.994,99.990,0.039,0.116,g
2458085.54132,2017-11-28.0412090,br,2.15,16.798,>16.798,99.990,0.198,0.139,g
2458085.54253,2017-11-28.0424204,br,2.12,16.915,>16.915,99.990,0.138,0.124,g
2458085.56980,2017-11-28.0696938,bq,1.52,16.735,>16.735,99.990,0.436,0.147,g
2458085.57103,2017-11-28.0709171,bq,1.54,16.801,16.685,0.197,0.770,0.138,g
